title,description,link,img_src
Data Preprocessing on a Real-World Problem Statement - Free Course,All Courses,/courses/data-preprocessing,https://import.cdn.thinkific.com/118220/2BmYWOASeye7uIgp3mHr_Building%20your%20first%20ML%20model.png
Exploring Stability.AI - Free Course,"All Courses, 
        
      
        
          Generative AI",/courses/exploring-stability-ai,https://import.cdn.thinkific.com/118220/imiRzsUqTwuQxv4wfyUb_mastering-stable-diffusion-thumbnail_2.png
Building a Text Classification Model with Natural Language Processing - Free Course,All Courses,/courses/free-building-textclassification-natural-language-processing,https://import.cdn.thinkific.com/118220/YfA6OJ6ATeiwbbvvzb5h_NLP%20Banner.png
Getting Started with Large Language Models,"All Courses, 
        
      
        
          Generative AI",/courses/getting-started-with-llms,https://import.cdn.thinkific.com/118220/TwSmk34ARlGMcQu4M8Co_A_Comprehensive_Learning_Path_to_Become_a_Data_Sc_265db306-1f93-496d-827e-0f1e534c9cf1.png
Introduction to Generative  AI,All Courses,/courses/introduction-to-generative-ai,https://import.cdn.thinkific.com/118220/CNjAWH6TUaIQt8N5FX9Y_thumbnail%201.png
Nano Course: Dreambooth-Stable Diffusion for Custom Images,"All Courses, 
        
      
        
          Generative AI",/courses/nano-course-dreambooth-stable-diffusion-for-custom-images,https://import.cdn.thinkific.com/118220/sU6NzHaSiCPghfiOpQ52_Introduction_to_Natural_Language_Processing_b92e8456-3145-489b-97e7-51925a655b2c.png
A Comprehensive Learning Path for Deep Learning in 2023,All Courses,/courses/a-comprehensive-learning-path-for-deep-learning-in-2023,https://files.cdn.thinkific.com/courses/course_card_image_000/580/9901576591074.original.jpg
A Comprehensive Learning Path to Become a Data Scientist in 2024,All Courses,/courses/a-comprehensive-learning-path-to-become-a-data-scientist-in-twenty-twenty-four,https://import.cdn.thinkific.com/118220/1b0s4lDiQluveqaLqKj8_A_Comprehensive_Learning_Path_to_Become_a_Data_Sc_6e902c6d-46bf-4b8b-91cc-24329e68086c.png
Nano Course: Building Large Language Models for Code,"All Courses, 
        
      
        
          Generative AI",/courses/building-large-language-models-for-code,https://import.cdn.thinkific.com/118220/OelAeGXrRuGrnkcJSdAO_OG.png
Certified AI & ML BlackBelt+ Program,All Courses,/bundles/certified-ai-ml-blackbelt-plus,https://files.cdn.thinkific.com/bundles/bundle_card_image_000/048/808/1719037298.original.png
Machine Learning Summer Training,All Courses,/courses/machine-learning-summer-training,https://import.cdn.thinkific.com/118220/courses/1903742/zJ10PGDvQPKiGRGM73Dn_icon%282%29%20%281%29.jpg
AI Ethics by Fractal,All Courses,/courses/ai-ethics-fractal,https://import.cdn.thinkific.com/118220/courses/1720521/9MuNm0LRmeWOiy5VjCDB_ai.png
A Comprehensive Learning Path to Become a Data Engineer in 2022,All Courses,/courses/a-comprehensive-learning-path-to-become-a-data-engineer-in-2022,https://import.cdn.thinkific.com/118220/courses/1667459/Rqbh8QTKShaGKJ6vNiRx_overview%20of%20data%20engineering.jpg
Certified Business Analytics Program,All Courses,/bundles/certified-business-analytics-program,https://files.cdn.thinkific.com/bundles/bundle_card_image_000/048/438/1719206987.original.png
Certified Machine Learning Master's Program (MLMP),All Courses,/bundles/certified-machine-learning-master-s-program-mlmp,https://files.cdn.thinkific.com/bundles/bundle_card_image_000/046/940/1719206858.original.png
Certified Natural Language Processing Master’s Program,"All Courses, 
        
      
        
          NLP Courses",/bundles/certified-natural-language-processing-master-s-program,https://import.cdn.thinkific.com/118220/moBOBv3RMCKDgEoIi3DK_nlp%20master_thumb.jpg
Certified Computer Vision Master's Program,"All Courses, 
        
      
        
          Deep Learning Courses",/bundles/certified-computer-vision-masters-program,https://import.cdn.thinkific.com/118220/BY3BuXPFRuaKZuKdYB5T_thumb_.jpg
Applied Machine Learning - Beginner to Professional,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/applied-machine-learning-beginner-to-professional,https://files.cdn.thinkific.com/courses/course_card_image_000/739/8911589353707.original.jpg
Ace Data Science Interviews,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/ace-data-science-interviews,https://import.cdn.thinkific.com/118220/eZzXQDJSgyLlxFiQ5rbu_data_science_interview.jpg
Writing Powerful Data Science Articles,All Courses,/courses/writing-powerful-data-science-articles,https://import.cdn.thinkific.com/118220/courses/1292824/YfJD5SeRLaXRxYgVb2uw_icon.png
Machine Learning Certification Course for Beginners,All Courses,/courses/Machine-Learning-Certification-Course-for-Beginners,https://import.cdn.thinkific.com/118220/NjFxaJVSFeAfMSHYoG9Q_Machine_Learning_for_Beginners_b896980a-b1d1-41bc-9bab-d8d3176daaf8.png
Data Science Career Conclave,All Courses,/courses/data-science-career-conclave,https://import.cdn.thinkific.com/118220/courses/1230486/udv57o17QrG3uuBO8BwD_1200x628-icon.png
Top Data Science Projects for Analysts and Data Scientists,"All Courses, 
        
      
        
          Projects",/courses/top-data-science-projects-for-analysts-and-data-scientists,https://import.cdn.thinkific.com/118220/oNPtWVT9CbWwip5Ogang_project_thumb.jpg
Getting Started with Git and GitHub for Data Science Professionals,"All Courses, 
        
      
        
          Projects",/courses/getting-started-with-git-and-github-for-data-science-professionals,https://import.cdn.thinkific.com/118220/pbMFVOw2RPi9fFXSOuGP_github_thumb.jpg
Machine Learning Starter Program,All Courses,/bundles/machine-learning-starter-program,https://import.cdn.thinkific.com/118220/OTJAEtMGQWaxxIWD0pWv_MLSP%20thumb.jpg
"Data Science Hacks, Tips and Tricks","All Courses, 
        
      
        
          Machine Learning Courses",/courses/data-science-hacks-tips-and-tricks,https://import.cdn.thinkific.com/118220/qaomVKyQPaj9MCRxO9dg_course%20thumb%20image.jpg
Introduction to Business Analytics,"All Courses, 
        
      
        
          Business Analytics Courses",/courses/introduction-to-analytics,https://import.cdn.thinkific.com/118220/uQspaf6ESc6KPX6jkVrx_Introduction_to_Business_Analytics_fcacd85c-25ff-44bf-a74d-ee3aa66e51d4.png
Introduction to PyTorch for Deep Learning,"All Courses, 
        
      
        
          Tools, 
        
      
        
          Deep Learning Courses",/courses/introduction-to-pytorch-for-deeplearning,https://import.cdn.thinkific.com/118220/3Ec7NO7MTkqaEImQio94_pytorch_thumb.jpg
Introductory Data Science for Business Managers,All Courses,/bundles/introductory-data-science-for-business-managers,https://import.cdn.thinkific.com/118220/oF8KoXuyQ7KrHIRMmTt5_Business_Manager.jpg
Introduction to Natural Language Processing,"All Courses, 
        
      
        
          NLP Courses",/courses/Intro-to-NLP,https://import.cdn.thinkific.com/118220/X8bM7n4REC8ykgf53oSj_10.Introduction%20to%20AI%20_%20ML.png
Getting started with Decision Trees,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/getting-started-with-decision-trees,https://import.cdn.thinkific.com/118220/Tgfv1fveTpWrv3ZFTt6r_Decision_Trees_ca3c729e-525b-4c8c-9f48-dec4bbb4faf3.png
Introduction to Python,"All Courses, 
        
      
        
          Tools, 
        
      
        
          Business Analytics Courses",/courses/introduction-to-data-science,https://import.cdn.thinkific.com/118220/QAUsjF0qSxCI7fsIrzhn_Algorithm_in_Python_and_R_1b947457-056e-4bfb-9a6f-ce614ebfe3c4.png
Loan Prediction Practice Problem (Using Python),"All Courses, 
        
      
        
          Projects, 
        
      
        
          Machine Learning Courses",/courses/loan-prediction-practice-problem-using-python,https://import.cdn.thinkific.com/118220/pcauZ3ZqSWqrYXlYTd0w_Loan_Prediction_Practice_Problem_8dbf2aea-f3c8-42d4-bd27-87e738de5aac.png
Big Mart Sales Prediction Using R,"All Courses, 
        
      
        
          Projects, 
        
      
        
          Machine Learning Courses",/courses/big-mart-sales-prediction-using-r,https://import.cdn.thinkific.com/118220/t1hnCAcdT22pr7EEWQpW_Sales%20Prediction_thumb.jpg
Twitter Sentiment Analysis,"All Courses, 
        
      
        
          Projects, 
        
      
        
          Machine Learning Courses",/courses/twitter-sentiment-analysis,https://import.cdn.thinkific.com/118220/nwZ67Ta2R0SO6uI4mWBe_Twitter%20Sentiment%20Analysis.jpg
Pandas for Data Analysis in Python,"All Courses, 
        
      
        
          Tools, 
        
      
        
          Machine Learning Courses",/courses/pandas-for-data-analysis-in-python,https://import.cdn.thinkific.com/118220/SPL9Cu7sQ5uihQ2mGYtO_Pandas_for_Data_Analysis_in_Python_7760df6c-f648-46d8-93f3-ba4e49d89a22.png
Support Vector Machine (SVM) in Python and R,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/support-vector-machine-svm-in-python-and-r,https://import.cdn.thinkific.com/118220/PhPoLyt7QKOucBS6VLf2_Support%20Vector%20Machine_thumb.jpg
Evaluation Metrics for Machine Learning Models,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/evaluation-metrics-for-machine-learning-models,https://import.cdn.thinkific.com/118220/Qb1PlcDoTEeoR1ZOOvUy_evaluation%20metrics_thumb.jpg
Fundamentals of Regression Analysis,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/Fundamentals-of-Regression-Analysis,https://import.cdn.thinkific.com/118220/C5HN5LVDQsyS1hRojIyT_courses_thumb.jpg
Getting Started with scikit-learn (sklearn) for Machine Learning,"All Courses, 
        
      
        
          Tools, 
        
      
        
          Machine Learning Courses",/courses/get-started-with-scikit-learn-sklearn,https://import.cdn.thinkific.com/118220/d8R1MoSmisGRZk4UJWQF_thumb_.jpg
Convolutional Neural Networks (CNN) from Scratch,"All Courses, 
        
      
        
          Deep Learning Courses",/courses/convolutional-neural-networks-cnn-from-scratch,https://import.cdn.thinkific.com/118220/4yxTr5xuQy6snBYBcHP8_Convolutional%20Neural%20Networks_thumb.jpg
Dimensionality Reduction for Machine Learning,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/dimensionality-reduction-for-machine-learning,https://import.cdn.thinkific.com/118220/Um1x4Xh7RIGzMIQuwCeM_course_thumb%20.jpg
K-Nearest Neighbors (KNN) Algorithm in Python and R,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/K-Nearest-Neighbors-KNN-Algorithm,https://import.cdn.thinkific.com/118220/7FpGUA1gQLWbDB5oVsCz_thumb_.jpg
Ensemble Learning and Ensemble Learning Techniques,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/ensemble-learning-and-ensemble-learning-techniques,https://import.cdn.thinkific.com/118220/doHSugITVCfoBUVdlxeH_Ensemble%20Learning-thumb.jpg
Linear Programming for Data Science Professionals,All Courses,/courses/linear-programming,https://import.cdn.thinkific.com/118220/TMBNBD4R5a1YdlMHJada_thumb.jpg
Naive Bayes from Scratch,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/naive-bayes,https://import.cdn.thinkific.com/118220/tdU7ioeOQG4ZuHzhoJrQ_thumb_.jpg
Learn Swift for Data Science,"All Courses, 
        
      
        
          Tools",/courses/learn-swift-for-data-science,https://import.cdn.thinkific.com/118220/QT5BeWvTG2ITfNiyiCZQ_thumb.jpg
Introduction to Web Scraping using Python,All Courses,/courses/introduction-to-web-scraping,https://import.cdn.thinkific.com/118220/AEt5RjqFTCeJJ8oIBn7s_thumb.jpg
Tableau for Beginners,"All Courses, 
        
      
        
          Tools",/courses/tableau-for-beginners,https://import.cdn.thinkific.com/118220/UtXF4erQmuUVLtZz8TMA_tablu_thumb.jpg
Getting Started with Neural Networks,All Courses,/courses/getting-started-with-neural-networks,https://import.cdn.thinkific.com/118220/hujFPpK4S261x92WyEyc_natural%20Network.jpg
Introduction to AI & ML,All Courses,/courses/introduction-to-ai-ml,https://import.cdn.thinkific.com/118220/rlT6Q4O0SEafxqg4WmzL_Introduction_to_AI__ML_88145141-2c69-4ae8-9681-5d7201a38288%20(1).png
Winning Data Science Hackathons - Learn from Elite Data Scientists,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/winning-data-science-hackathons-learn-from-elite-data-scientists,https://import.cdn.thinkific.com/118220/7exjvWuRSNesvaXPPxHO_data-science.jpg
Hypothesis Testing for Data Science and Analytics,"All Courses, 
        
      
        
          Machine Learning Courses",/courses/hypothesis-testing-for-data-science-and-analytics,https://import.cdn.thinkific.com/118220/iO9QE66XTOm17Mz0fxzs_thumb.jpg
